rating,date,variation,verified_reviews,feedback,p_verified_reviews
5,2018-07-30,Sandstone Fabric ,"Love the Echo !!! I love the size, material and speaker quality. I have it hooked up to one light easily and will work on additional lights and thermostat. Next is Echo Dot for bedroom. There is a lot more to do with Echo that you think. Traffic, Weather, Trivia, etc.",1,love echo love size material speaker quality hooked one light easily work additional lights thermostat next echo dot bedroom lot echo think traffic weather trivia etc
4,2018-07-30,Charcoal Fabric ,Love it!,1,love
5,2018-07-30,Charcoal Fabric ,The entire family loves Alexa Echo. She’s now a part of this family.,1,entire family loves alexa echo part family
5,2018-07-30,Walnut Finish ,"Great fun getting to know all the functions of this product.  WOW -- family fun and homework help.  Talking with other grandchildren,who also have an Echo, is a HUGE bonus.  Can't wait to learn more and more and more",1,great fun getting know functions product wow family fun homework help talking grandchildren also echo huge bonus ca n't wait learn
5,2018-07-30,Heather Gray Fabric ,Love it!,1,love
5,2018-07-30,Heather Gray Fabric ,"awesome thing, love Alexa",1,awesome thing love alexa
5,2018-07-30,Charcoal Fabric ,It worked exactly as expected and the speaker has great sound. It is perfect for my classroom!,1,worked exactly expected speaker great sound perfect classroom
5,2018-07-30,Charcoal Fabric ,"LOVE, LOVE this new little gadget.  Has  made our lives so much easier.  it's like having our own personal secretary living here in the home.  We hardly need our CD's anymore, since ALEXA plays everything we need.  Going to get the Alexa DOTS soon for more rooms.  Thanks!!",1,love love new little gadget made lives much easier 's like personal secretary living home hardly need cd 's anymore since alexa plays everything need going get alexa dots soon rooms thanks
4,2018-07-30,Heather Gray Fabric ,The speaker is of surprising quality. Happy with the purchase.,1,speaker surprising quality happy purchase
5,2018-07-30,Charcoal Fabric ,Very easy to set up. Works wonderful and I love it!!,1,easy set works wonderful love
5,2018-07-30,Sandstone Fabric ,I'm really impressed with the sound quality when playing music from this device.  The bass sounds almost like it's coming from a bigger speaker so props to Amazon.,1,'m really impressed sound quality playing music device bass sounds almost like 's coming bigger speaker props amazon
4,2018-07-30,Charcoal Fabric ,"It’s still a great product.But the sound quality does seem worse.Don’t get me wrong. You definitely get used to it within an hour. But it definitely feels like echo gen 1 sound quality was better.Besides that , it’s great.With the addition of being able to play Just over Bluetooth with no WiFi, it’s even better.",1,still great product sound quality seem worse get wrong definitely get used within hour definitely feels like echo gen sound quality better besides great addition able play bluetooth wifi even better
4,2018-07-30,Sandstone Fabric ,The outlet does not work with it. Was disappointed in that.,1,outlet work disappointed
4,2018-07-30,Charcoal Fabric ,"Great device, responsive and helpful",1,great device responsive helpful
2,2018-07-30,Charcoal Fabric ,Sound is terrible if u want good music too get a bose,0,sound terrible u want good music get bose
4,2018-07-30,Charcoal Fabric ,"i liked the sound . what is troubling is that I paid extra money to have access to a million more songs. Sometimes it doesn't work. Ex. Alexa play Italian songs&#34; .don't have or don&#34; t understand. or play the opera Tosca, response &#34;sorry I don&#34;t have that.",1,liked sound troubling paid extra money access million songs sometimes n't work ex alexa play italian songs n't understand play opera tosca response sorry
5,2018-07-30,Charcoal Fabric ,Easy to set up and use. Too bad it has to be plugged in. Would be nice to take it outside and operate on battery and recharged.,1,easy set use bad plugged would nice take outside operate battery recharged
5,2018-07-30,Charcoal Fabric ,Still learning all the ways to use it.  It is a real hit with my grandkids who ask it to play music and then dance to it.  (5 and 7 yrs).  Very cute.,1,still learning ways use real hit grandkids ask play music dance yrs cute
4,2018-07-30,Oak Finish ,"4.5 out of 5 Stars. I generally like this product. Its great at doing what you ask of it like playing music, setting timers, and making calls. Reason why I didn't rate it 5 out of 5 is that sometimes the connection dies and my Echo stops playing music and shows a red ring. Seems to be a connection issue. Overall, great product.",1,stars generally like product great ask like playing music setting timers making calls reason n't rate sometimes connection dies echo stops playing music shows red ring seems connection issue overall great product
5,2018-07-30,Charcoal Fabric ,"Works great, upgraded from echo dot to full size echo, couldn’t be happier!",1,works great upgraded echo dot full size echo happier
5,2018-07-30,Charcoal Fabric ,It's Alexa.... what else can you say,1,'s alexa else say
5,2018-07-30,Charcoal Fabric ,Upgraded from my lilttle echo dot. Happy with sound,1,upgraded lilttle echo dot happy sound
4,2018-07-30,Sandstone Fabric ,"Excellent product, set up with ease as well.",1,excellent product set ease well
5,2018-07-30,Heather Gray Fabric ,I've had the first gen Echo since it first came out and it has worked well for me. I purchased the 2nd gen during Prime Day and so far I'm happy. It seems to have an improved speaker which provides enhanced sound for music and such.,1,'ve first gen echo since first came worked well purchased nd gen prime day far 'm happy seems improved speaker provides enhanced sound music
5,2018-07-30,Charcoal Fabric ,I love my Echo smart speaker.  I love the volume and clarity.  It was easy to set up.  ITs a wonderful gift for any age.,1,love echo smart speaker love volume clarity easy set wonderful gift age
5,2018-07-30,Charcoal Fabric ,wonderful product and fast delivery!,1,wonderful product fast delivery
4,2018-07-30,Charcoal Fabric ,Initially harder to set up called tech wasn’t that knowledgeable now working great.,1,initially harder set called tech knowledgeable working great
5,2018-07-30,Heather Gray Fabric ,It was very easy to set up and my family love it’s!,1,easy set family love
5,2018-07-30,Charcoal Fabric ,Has great sound and is very responsive my voice and commands.,1,great sound responsive voice commands
5,2018-07-30,Sandstone Fabric ,How did I live this long without the Echo . You get to enjoy any music style  just my asking Alexa . Going to up-greade to the wireless . Love the Echo . Love you too Alexa .,1,live long without echo get enjoy music style asking alexa going greade wireless love echo love alexa
5,2018-07-30,Heather Gray Fabric ,Very cool product. Speaker sounds good with my Spotify blasting through it.,1,cool product speaker sounds good spotify blasting
5,2018-07-30,Charcoal Fabric ,Having so much fun with Alexa. Love being able to listen to music when I’m across the room or busy doing something else.,1,much fun alexa love able listen music across room busy something else
5,2018-07-30,Charcoal Fabric ,"So far it seems to be a very nice item. It picks up on my voice and understands me without any problems. The other day I asked it to turn down the music from the next room and it heard me just fine. I've only used it to listen to music and check the weather, but it has done both of those things very well.",1,far seems nice item picks voice understands without problems day asked turn music next room heard fine 've used listen music check weather done things well
5,2018-07-30,Charcoal Fabric ,Love our echo,1,love echo
5,2018-07-30,Charcoal Fabric ,"I love it,she is very helpful. I use her for remembering things and sleep. You can ask her just about anything. I have only had her for about a week so still learning her.",1,love helpful use remembering things sleep ask anything week still learning
4,2018-07-30,Charcoal Fabric ,"It's better than the 1st gen in every way except for one.  I really miss the ring at the top for volume control.  It was quicker and easier to just grab the top and twist without having to look at the buttons and find the &#34;-&#34; one and press it a few times.  I also wish the bass was a bit better.  All in all, it's a great device and I'm happy with it.",1,'s better st gen every way except one really miss ring top volume control quicker easier grab top twist without look buttons find one press times also wish bass bit better 's great device 'm happy
5,2018-07-30,Charcoal Fabric ,I love having an Alexa!,1,love alexa
5,2018-07-30,Charcoal Fabric ,So far I like it 🤓,1,far like
5,2018-07-30,Heather Gray Fabric ,I am thoroughly enjoying my Ecoo!  Love to have it read my audiobook to me while in the office and then I can simply open the audiobook on my kindle to continue it when elsewhere. Wonderful for listening to music when not in the mood for a book. Great for setting reminders for myself too and so much more.,1,thoroughly enjoying ecoo love read audiobook office simply open audiobook kindle continue elsewhere wonderful listening music mood book great setting reminders much
5,2018-07-30,Charcoal Fabric ,Still love it,1,still love
5,2018-07-30,Charcoal Fabric ,Love it,1,love
5,2018-07-30,Heather Gray Fabric ,"I love the sound quality of this unit, it is a very clear sound.",1,love sound quality unit clear sound
4,2018-07-30,Sandstone Fabric ,I just this for listening to talk radio in the morning and turning lights on and off etc. The system does an excellent job as a full house sound system streaming Sirius.,1,listening talk radio morning turning lights etc system excellent job full house sound system streaming sirius
5,2018-07-30,Charcoal Fabric ,"I have had for only a week, so I am still learning all that Alexa can do.  It is a learning process.  I love the music I can call up any time.  I listen to podcasts and radio stations.  I have just started keeping shopping lists and grocery lists, which I love.  I don’t have to search for paper and pencil.  Getting time and temperature are great, do not have to wait for weather reports.  The sound is good.  I am not fussy about woofers, tweeters, base , etc.  the Echo is fine for me.  This afternoon I am going to try “dropping in”.on my son when he gets home.  Going to surprise him.",1,week still learning alexa learning process love music call time listen podcasts radio stations started keeping shopping lists grocery lists love search paper pencil getting time temperature great wait weather reports sound good fussy woofers tweeters base etc echo fine afternoon going try dropping son gets home going surprise
1,2018-07-30,Charcoal Fabric ,Not much features.,0,much features
5,2018-07-30,Charcoal Fabric ,"Great sound quality, great features, great product. Multi room music is very cool.",1,great sound quality great features great product multi room music cool
5,2018-07-30,Charcoal Fabric ,Cool,1,cool
5,2018-07-30,Charcoal Fabric ,Everyone should have an Echo or two or three or more. I bought my Echo through QVC.,1,everyone echo two three bought echo qvc
3,2018-07-30,Sandstone Fabric ,it's annoying that everything they show Alexa as being able to do has to be downloaded. You spend so  much time trying to figure out how to phrase it for the machine that you may as well just look it up yourself,1,'s annoying everything show alexa able downloaded spend much time trying figure phrase machine may well look
5,2018-07-30,Charcoal Fabric ,I have had Alexa since the beginning.  I accidentally spilled water on her and have replaced it with the 2nd generation.  I decided I couldn't be without an Echo.  Setup was easy and had it working within minutes.,1,alexa since beginning accidentally spilled water replaced nd generation decided could n't without echo setup easy working within minutes
5,2018-07-30,Charcoal Fabric ,"I like being able to tell Alexia the music I want to hear, but sometimes she has trouble finding the song if I am not very specific about the title.",1,like able tell alexia music want hear sometimes trouble finding song specific title
5,2018-07-30,Heather Gray Fabric ,I like the looks better than the original echo.  I moved my old echo to the basement family room. Nice sound.,1,like looks better original echo moved old echo basement family room nice sound
5,2018-07-30,Charcoal Fabric ,The Echo is wonderful but I'm still learning how to use it. Music requests are somewhat limited.,1,echo wonderful 'm still learning use music requests somewhat limited
3,2018-07-30,Heather Gray Fabric ,"Doesn't know half the things asked. Can't recognize my sprinkler wifi controller, even though product details says it is compatible. Can't program or change my wifi thermostat settings and its matched up on same wifi router. Just a handy music player. That's if you have Amazon Music.",1,n't know half things asked ca n't recognize sprinkler wifi controller even though product details says compatible ca n't program change wifi thermostat settings matched wifi router handy music player 's amazon music
5,2018-07-30,Sandstone Fabric ,Love it,1,love
5,2018-07-30,Sandstone Fabric ,awesome.understands my kids,1,awesome understands kids
5,2018-07-30,Charcoal Fabric ,We were pleasantly surprised at the sound quality and the many features. How nice to easily hear a particular artist or hear our books just by a simple command. Looking forward to exploring other options with this device.,1,pleasantly surprised sound quality many features nice easily hear particular artist hear books simple command looking forward exploring options device
5,2018-07-30,Heather Gray Fabric ,Met and exceeded my expectations. Easy set up and is really quick in responses.,1,met exceeded expectations easy set really quick responses
5,2018-07-30,Charcoal Fabric ,"I like the fact that I can get any kind of music from Prime that I want on request from Alexa. I liked the informative photo little pamphlet but wish it included how to connect your TV etc. to the commands from Alexa. BUT, I really love having the music.",1,like fact get kind music prime want request alexa liked informative photo little pamphlet wish included connect tv etc commands alexa really love music
4,2018-07-30,Charcoal Fabric ,"i have not found a way to access my echo thorough my prime account.  I think it should be part of the top line with video, music, etc.  I also think the setup app where i define, for example music i like, is not well integrated into echo.  I have tried to ask for my playlist and echo is not sure even though i set up play list in my settings.  I also do not like the fact that my words have to be exact match of my playlist names, which i can never remember.I like the ready nature of echo to respond to most any queries.",1,found way access echo thorough prime account think part top line video music etc also think setup app define example music like well integrated echo tried ask playlist echo sure even though set play list settings also like fact words exact match playlist names never remember like ready nature echo respond queries
5,2018-07-30,Charcoal Fabric ,This is great item and just added audible books which makes it even better. Thank you!,1,great item added audible books makes even better thank
